text,jussive,assertive,subjective,interrogative,other
"@bruno_deshayes1 @rene_chiche oui désolé si j'ai envie d'eviter une noyade lors d'inondation, satan finalement c'est pas si mal",0,0,1,0,0
"@IrreDuctible58 @rene_chiche quoi, rester dans un batiment lors d'inondation pour eviter une noyade ? la désobéissance généralisé ça ne vous réussit pas on dirait",0,0,1,0,0
"L'eau est entré chez une amie.. Heureusement, cette inondation a permis de découvrir qu'il y avait un serpent noir qui vivait peinard avec eux. 😩😩Que des frissons😩",0,0,1,0,0
"@BernardGontran @rene_chiche on parle d'inondation, évidement que les gens ont envie de croire qu'etre dans un bâtiment peut les sauver de la noyade",0,0,1,0,0
@FPolastron @dansleslimbes @AlerteFR @VISOV1 @RatZillaS Allez prendre vos pilules pour la tension et ne venez pas pleurer quand vous serez le seul à ne pas être au courant qu'une inondation éclair arrive sur votre maison.,0,0,0,0,1
"@environews_rdc Pour parler d'inondation, il faut que le lit d'un cours refoule le trop plein. La thèse du changement climatique est acceptable. Mais d'autres parts, les dégâts auraient pu être atténués si nos autorités et nous-mêmes avions été assez responsables.",0,1,0,0,0
"@Arf_0ze @Reydelacoca @tw2ezy raréfaction de l'eau, écosystème détruit donc l'alimentation également, les arbres produisent moins de CO², etc etc mais vu que t'es qu'un égoïste tu viendras pas chialer quand tu perdras ta maison dans une inondation",0,0,1,0,0
"@BrahimDadi Les gens sont vraiment méchants walaye, Dieu est toujours à côté de ceux qui font le bien . Qu’Allah vous protège de cette inondation.",0,0,0,0,1
"@binego_ @KamuleteP @Nsambijeanmk Là vous m'informer comment t'as passer une nuit paisible sur ton canapé mouillé à cause des inondation dans ta maison, que Dieu t'assiste .",0,0,0,0,1
"@teissir_ Et après quand on sera vraiment dans la merde, avec des tempêtes, inondation c'est les mêmes qui vont faire les chialeuses parce qu'on aura plus aucune libertés. A cause des riches, on va encore détruire la vie de millions de personnes.",0,0,1,0,0
"@TaQuIn_MaUvE Manque de chance quand j’y suis allée, il y avait eu un tremblement de terre, qui n’avait heureusement pas touché la chambre, mais un accès qui devait être vérifié. Heureusement, j’avais pu voir tous les autres palais de la Brenta, leurs Tiepolo, et leurs Véronèse",0,0,1,0,0
purée mon tel a sonné comme un batard à 8h du mat juste pour me dire qu’il y avait un tremblement de terre??? laisse moi dormir frr,0,0,0,0,1
@louis_ide @groen @ArbiterOfTweets Les 20000 morts dus au tsunami et au tremblement de terre .. le mur de protection n etait pas assez haut ..un tsunami effrayant personne n est dcd des radiations .. ds les magasins Tokyo on passait les legumes au compteur geiger .. nothing,0,1,0,0,0
@kyuneclipse Non mdrrrr petit tremblement de terre à 10km de Séoul mdrrr,0,1,0,0,0
Réveillée ce matin par l'alarme du portable car tremblement de terre dans le sud du pays,0,1,0,0,0
l’alarme de tremblement de terre 🧍🏻‍♀️ Faut laisser les gens dormir hein,0,0,1,0,0
"Le réveil par une alerte au tremblement de terre c'est la pire chose qui existe, y'a pas à mettre une alarme aussi stressante",0,0,1,0,0
"@Mew1__ @klybck Merci infiniment Mew d'avoir sauvé mon frère d'un tremblement de terre la semaine dernière, je t'en serai éternellement reconnaissant🙏",0,0,1,0,0
"enre là on vient d'avoir un tremblement de terre et ce week-end y a un typhon qui arrive mdrrr venez à taiwan promis c'est cool, tous les jours on a des surprises https://t.co/I8X7CCGVl2",0,1,0,0,0
Mais ce matin je me suis réveillée avec une alarme ultra stridente qui sortait de mon téléphone et c’était le gouvernement qui nous prévenait qu’il y avait un tremblement de terre?? 😭,0,0,0,1,0
🚒 Merci aux Sapeurs pompiers volontaires et professionnels qui étaient sur le début d’incendie au niveau de l’ancienne piscine de #lucon. Un travail rigoureux et un professionnalisme qui ont permis de maîtriser le feu. Bravo aux 44 pompiers mobilisés.,0,1,0,0,0
"⚠️LIGNE 36 : déviation imprévue cause incendie. Arrêts Kléber, L’Allumette et Croix Saint Pierre non desservis vers Croix Saint Pierre. Report au terminus temporaire effectué à l’arrêt Mairie de Croix.",0,1,0,0,0
Les circonstances de cet incendie et les causes du décès sont pour l'heure inconnues.#SeineMaritime #Normandie #Incendie https://t.co/IKLHeyssVb,0,1,0,0,0
@Lydenzothentik @p_duval C'est bien une photo prise devant l'incendie de Notre Dame si je ne me trompe pas ??,0,0,0,1,0
"Près de #Falaise. Un #incendie se déclare dans la buanderie et se propage à la maison, à #Soignolles
#Calvados https://t.co/LUAWNRJmLT via @ouestfrance
",0,1,0,0,0
"Combien de fausses alertes incendies sont de véritables alertes de qualité d'air?
Et si les pompiers étaient formés et équipés afin de s'assurer que l'air ne pose aucun danger immédiat aux occupants d'un lieu où une alerte incendie a été déclaré, surtout en période de travaux ?",0,0,0,1,0
"Est-ce que les pompiers, non formés et non équipés pour monitorer l'air des lieux où ils sont appelés lors de fausses alertes incendie, repartent souvent alors que le lieu est dangereux, comme c’était le cas dans le bâtiment  où j’habite ?",0,0,0,1,0
Comment ça l’alarme incendie ? 🤣🤣🤣🤣🤣🤣 https://t.co/njwnPJkj5b,0,0,0,1,0
 L’incendie d'une chambre télécom a paralysé une partie des services de l‘hôpital de Poissy,0,1,0,0,0
"@RERE_T4_SNCF Encore qu'on mette plus de deux heures à rentrer chez nous à cause d'un incendie... Passe
Mais vous n'avez pas honte de continuer à nous emmerder toutes les semaines avec vos grèves déguisés ?",0,0,1,0,0
"Imaginons qu'il y ait une alerte tsunami à 3h15 du matin, que faudrait-il faire?",0,0,0,1,0
Le plus grand tsunami connu faisait 520m 😱 https://t.co/LbCgglqwt3,0,1,0,0,0
"@MassartJulien1 @TinneVdS La plus grande menteuse de tout les temps 
Je l ai deja dit ds les deux langues ...une partie de ma famille habite au japon .Les morts dus au tsunami ... non au nucleaire",0,0,1,0,0
"je pense que si j’assistais à un tsunami, je mourrais instantanément https://t.co/RaQT7cY7HQ",0,0,1,0,0
Mais un tsunami de 520m ta seule option c’est de chahad,0,0,1,0,0
